"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2063","Check registration with correct email, username and password","tests.authentication","Sat Mar 28 10:56:45 UTC 2026","passed","Sat Mar 28 10:56:47 UTC 2026","TestRegistration","test_registration","",""
"","2192","Check displaying of dashboard page","tests.dashboard","Sat Mar 28 10:57:15 UTC 2026","passed","Sat Mar 28 10:57:17 UTC 2026","TestDashboard","test_dashboard","",""
"","1978","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:19 UTC 2026","passed","Sat Mar 28 10:56:21 UTC 2026","TestAuthorization","test_authorization","",""
"","2101","Check registration with correct email, username and password","tests.authentication","Sat Mar 28 10:56:48 UTC 2026","passed","Sat Mar 28 10:56:50 UTC 2026","TestRegistration","test_registration","",""
"","1219","Check displaying of empty courses list","tests.courses","Sat Mar 28 10:57:03 UTC 2026","passed","Sat Mar 28 10:57:05 UTC 2026","TestCourses","test_courses","",""
"","1819","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:21 UTC 2026","passed","Sat Mar 28 10:56:23 UTC 2026","TestAuthorization","test_authorization","",""
"","2438","Check create course","tests.courses","Sat Mar 28 10:56:55 UTC 2026","passed","Sat Mar 28 10:56:58 UTC 2026","TestCourses","test_courses","",""
"","3341","Check edit course","tests.courses","Sat Mar 28 10:57:04 UTC 2026","passed","Sat Mar 28 10:57:08 UTC 2026","TestCourses","test_courses","",""
"","1616","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:28 UTC 2026","passed","Sat Mar 28 10:56:29 UTC 2026","TestAuthorization","test_authorization","",""
"","1899","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:34 UTC 2026","passed","Sat Mar 28 10:56:36 UTC 2026","TestAuthorization","test_authorization","",""
"","1672","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:25 UTC 2026","passed","Sat Mar 28 10:56:27 UTC 2026","TestAuthorization","test_authorization","",""
"","2130","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:38 UTC 2026","passed","Sat Mar 28 10:56:40 UTC 2026","TestAuthorization","test_authorization","",""
"","1730","Check navigation from login page to registration page ","tests.authentication","Sat Mar 28 10:56:47 UTC 2026","passed","Sat Mar 28 10:56:48 UTC 2026","TestAuthorization","test_authorization","",""
"","9153","Check login with correct email and password","tests.authentication","Sat Mar 28 10:56:25 UTC 2026","passed","Sat Mar 28 10:56:34 UTC 2026","TestAuthorization","test_authorization","",""
"","2139","Check registration with correct email, username and password","tests.authentication","Sat Mar 28 10:56:50 UTC 2026","passed","Sat Mar 28 10:56:52 UTC 2026","TestRegistration","test_registration","",""
"","1601","Check navigation from login page to registration page ","tests.authentication","Sat Mar 28 10:56:45 UTC 2026","passed","Sat Mar 28 10:56:46 UTC 2026","TestAuthorization","test_authorization","",""
"","1653","Check displaying of empty courses list","tests.courses","Sat Mar 28 10:56:58 UTC 2026","passed","Sat Mar 28 10:57:00 UTC 2026","TestCourses","test_courses","",""
"","1632","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:30 UTC 2026","passed","Sat Mar 28 10:56:32 UTC 2026","TestAuthorization","test_authorization","",""
"","2415","Check create course","tests.courses","Sat Mar 28 10:56:59 UTC 2026","passed","Sat Mar 28 10:57:02 UTC 2026","TestCourses","test_courses","",""
"","3030","Check edit course","tests.courses","Sat Mar 28 10:57:10 UTC 2026","passed","Sat Mar 28 10:57:13 UTC 2026","TestCourses","test_courses","",""
"","3247","Check login with correct email and password","tests.authentication","Sat Mar 28 10:56:19 UTC 2026","passed","Sat Mar 28 10:56:22 UTC 2026","TestAuthorization","test_authorization","",""
"","5414","Check edit course","tests.courses","Sat Mar 28 10:57:05 UTC 2026","passed","Sat Mar 28 10:57:11 UTC 2026","TestCourses","test_courses","",""
"","3688","Check login with correct email and password","tests.authentication","Sat Mar 28 10:56:36 UTC 2026","passed","Sat Mar 28 10:56:40 UTC 2026","TestAuthorization","test_authorization","",""
"","1990","Check displaying of dashboard page","tests.dashboard","Sat Mar 28 10:57:11 UTC 2026","passed","Sat Mar 28 10:57:13 UTC 2026","TestDashboard","test_dashboard","",""
"","1739","Check navigation from login page to registration page ","tests.authentication","Sat Mar 28 10:56:42 UTC 2026","passed","Sat Mar 28 10:56:44 UTC 2026","TestAuthorization","test_authorization","",""
"","1957","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:42 UTC 2026","passed","Sat Mar 28 10:56:44 UTC 2026","TestAuthorization","test_authorization","",""
"","1537","Check login with wrong email or password","tests.authentication","Sat Mar 28 10:56:23 UTC 2026","passed","Sat Mar 28 10:56:25 UTC 2026","TestAuthorization","test_authorization","",""
"","1908","Check displaying of dashboard page","tests.dashboard","Sat Mar 28 10:57:14 UTC 2026","passed","Sat Mar 28 10:57:16 UTC 2026","TestDashboard","test_dashboard","",""
"","1429","Check displaying of empty courses list","tests.courses","Sat Mar 28 10:57:02 UTC 2026","passed","Sat Mar 28 10:57:03 UTC 2026","TestCourses","test_courses","",""
"","2479","Check create course","tests.courses","Sat Mar 28 10:56:53 UTC 2026","passed","Sat Mar 28 10:56:56 UTC 2026","TestCourses","test_courses","",""
