"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1765","Check displaying of empty courses list","tests.courses","Mon Mar 30 00:24:46 UTC 2026","passed","Mon Mar 30 00:24:48 UTC 2026","TestCourses","test_courses","",""
"","1794","Check navigation from login page to registration page ","tests.authentication","Mon Mar 30 00:24:30 UTC 2026","passed","Mon Mar 30 00:24:32 UTC 2026","TestAuthorization","test_authorization","",""
"","8330","Check login with correct email and password","tests.authentication","Mon Mar 30 00:24:13 UTC 2026","passed","Mon Mar 30 00:24:21 UTC 2026","TestAuthorization","test_authorization","",""
"","1569","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:11 UTC 2026","passed","Mon Mar 30 00:24:12 UTC 2026","TestAuthorization","test_authorization","",""
"","2906","Check create course","tests.courses","Mon Mar 30 00:24:46 UTC 2026","passed","Mon Mar 30 00:24:49 UTC 2026","TestCourses","test_courses","",""
"","3326","Check edit course","tests.courses","Mon Mar 30 00:25:00 UTC 2026","passed","Mon Mar 30 00:25:04 UTC 2026","TestCourses","test_courses","",""
"","5308","Check edit course","tests.courses","Mon Mar 30 00:24:53 UTC 2026","passed","Mon Mar 30 00:24:58 UTC 2026","TestCourses","test_courses","",""
"","1633","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:13 UTC 2026","passed","Mon Mar 30 00:24:15 UTC 2026","TestAuthorization","test_authorization","",""
"","1381","Check navigation from login page to registration page ","tests.authentication","Mon Mar 30 00:24:34 UTC 2026","passed","Mon Mar 30 00:24:36 UTC 2026","TestAuthorization","test_authorization","",""
"","1423","Check displaying of empty courses list","tests.courses","Mon Mar 30 00:24:51 UTC 2026","passed","Mon Mar 30 00:24:52 UTC 2026","TestCourses","test_courses","",""
"","1846","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:09 UTC 2026","passed","Mon Mar 30 00:24:11 UTC 2026","TestAuthorization","test_authorization","",""
"","1456","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:18 UTC 2026","passed","Mon Mar 30 00:24:20 UTC 2026","TestAuthorization","test_authorization","",""
"","1695","Check navigation from login page to registration page ","tests.authentication","Mon Mar 30 00:24:32 UTC 2026","passed","Mon Mar 30 00:24:34 UTC 2026","TestAuthorization","test_authorization","",""
"","2449","Check displaying of dashboard page","tests.dashboard","Mon Mar 30 00:25:00 UTC 2026","passed","Mon Mar 30 00:25:02 UTC 2026","TestDashboard","test_dashboard","",""
"","1692","Check displaying of empty courses list","tests.courses","Mon Mar 30 00:24:50 UTC 2026","passed","Mon Mar 30 00:24:52 UTC 2026","TestCourses","test_courses","",""
"","3337","Check login with correct email and password","tests.authentication","Mon Mar 30 00:24:06 UTC 2026","passed","Mon Mar 30 00:24:10 UTC 2026","TestAuthorization","test_authorization","",""
"","2103","Check registration with correct email, username and password","tests.authentication","Mon Mar 30 00:24:33 UTC 2026","passed","Mon Mar 30 00:24:35 UTC 2026","TestRegistration","test_registration","",""
"","2073","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:21 UTC 2026","passed","Mon Mar 30 00:24:23 UTC 2026","TestAuthorization","test_authorization","",""
"","2946","Check create course","tests.courses","Mon Mar 30 00:24:43 UTC 2026","passed","Mon Mar 30 00:24:46 UTC 2026","TestCourses","test_courses","",""
"","2677","Check registration with correct email, username and password","tests.authentication","Mon Mar 30 00:24:37 UTC 2026","passed","Mon Mar 30 00:24:40 UTC 2026","TestRegistration","test_registration","",""
"","2569","Check create course","tests.courses","Mon Mar 30 00:24:41 UTC 2026","passed","Mon Mar 30 00:24:44 UTC 2026","TestCourses","test_courses","",""
"","1785","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:16 UTC 2026","passed","Mon Mar 30 00:24:18 UTC 2026","TestAuthorization","test_authorization","",""
"","3563","Check login with correct email and password","tests.authentication","Mon Mar 30 00:24:23 UTC 2026","passed","Mon Mar 30 00:24:27 UTC 2026","TestAuthorization","test_authorization","",""
"","1700","Check displaying of dashboard page","tests.dashboard","Mon Mar 30 00:25:06 UTC 2026","passed","Mon Mar 30 00:25:07 UTC 2026","TestDashboard","test_dashboard","",""
"","2019","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:06 UTC 2026","passed","Mon Mar 30 00:24:08 UTC 2026","TestAuthorization","test_authorization","",""
"","2821","Check registration with correct email, username and password","tests.authentication","Mon Mar 30 00:24:36 UTC 2026","passed","Mon Mar 30 00:24:38 UTC 2026","TestRegistration","test_registration","",""
"","2210","Check displaying of dashboard page","tests.dashboard","Mon Mar 30 00:24:57 UTC 2026","passed","Mon Mar 30 00:24:59 UTC 2026","TestDashboard","test_dashboard","",""
"","1904","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:29 UTC 2026","passed","Mon Mar 30 00:24:31 UTC 2026","TestAuthorization","test_authorization","",""
"","3317","Check edit course","tests.courses","Mon Mar 30 00:24:53 UTC 2026","passed","Mon Mar 30 00:24:56 UTC 2026","TestCourses","test_courses","",""
"","2085","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:24:26 UTC 2026","passed","Mon Mar 30 00:24:28 UTC 2026","TestAuthorization","test_authorization","",""
