"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2496","Check create course","tests.courses","Mon Mar 30 00:31:04 UTC 2026","passed","Mon Mar 30 00:31:06 UTC 2026","TestCourses","test_courses","",""
"","3467","Check edit course","tests.courses","Mon Mar 30 00:31:16 UTC 2026","passed","Mon Mar 30 00:31:19 UTC 2026","TestCourses","test_courses","",""
"","2294","Check registration with correct email, username and password","tests.authentication","Mon Mar 30 00:31:00 UTC 2026","passed","Mon Mar 30 00:31:02 UTC 2026","TestRegistration","test_registration","",""
"","2968","Check create course","tests.courses","Mon Mar 30 00:31:09 UTC 2026","passed","Mon Mar 30 00:31:12 UTC 2026","TestCourses","test_courses","",""
"","1771","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:36 UTC 2026","passed","Mon Mar 30 00:30:38 UTC 2026","TestAuthorization","test_authorization","",""
"","1711","Check navigation from login page to registration page ","tests.authentication","Mon Mar 30 00:30:55 UTC 2026","passed","Mon Mar 30 00:30:57 UTC 2026","TestAuthorization","test_authorization","",""
"","2749","Check edit course","tests.courses","Mon Mar 30 00:31:24 UTC 2026","passed","Mon Mar 30 00:31:27 UTC 2026","TestCourses","test_courses","",""
"","2626","Check create course","tests.courses","Mon Mar 30 00:31:05 UTC 2026","passed","Mon Mar 30 00:31:08 UTC 2026","TestCourses","test_courses","",""
"","2271","Check displaying of dashboard page","tests.dashboard","Mon Mar 30 00:31:23 UTC 2026","passed","Mon Mar 30 00:31:25 UTC 2026","TestDashboard","test_dashboard","",""
"","2392","Check displaying of empty courses list","tests.courses","Mon Mar 30 00:31:12 UTC 2026","passed","Mon Mar 30 00:31:15 UTC 2026","TestCourses","test_courses","",""
"","1473","Check displaying of empty courses list","tests.courses","Mon Mar 30 00:31:14 UTC 2026","passed","Mon Mar 30 00:31:15 UTC 2026","TestCourses","test_courses","",""
"","1573","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:39 UTC 2026","passed","Mon Mar 30 00:30:41 UTC 2026","TestAuthorization","test_authorization","",""
"","1754","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:34 UTC 2026","passed","Mon Mar 30 00:30:36 UTC 2026","TestAuthorization","test_authorization","",""
"","5620","Check edit course","tests.courses","Mon Mar 30 00:31:16 UTC 2026","passed","Mon Mar 30 00:31:22 UTC 2026","TestCourses","test_courses","",""
"","1809","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:32 UTC 2026","passed","Mon Mar 30 00:30:34 UTC 2026","TestAuthorization","test_authorization","",""
"","8832","Check login with correct email and password","tests.authentication","Mon Mar 30 00:30:34 UTC 2026","passed","Mon Mar 30 00:30:43 UTC 2026","TestAuthorization","test_authorization","",""
"","1739","Check displaying of dashboard page","tests.dashboard","Mon Mar 30 00:31:29 UTC 2026","passed","Mon Mar 30 00:31:31 UTC 2026","TestDashboard","test_dashboard","",""
"","1649","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:49 UTC 2026","passed","Mon Mar 30 00:30:51 UTC 2026","TestAuthorization","test_authorization","",""
"","1841","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:41 UTC 2026","passed","Mon Mar 30 00:30:43 UTC 2026","TestAuthorization","test_authorization","",""
"","2152","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:45 UTC 2026","passed","Mon Mar 30 00:30:47 UTC 2026","TestAuthorization","test_authorization","",""
"","1857","Check registration with correct email, username and password","tests.authentication","Mon Mar 30 00:30:56 UTC 2026","passed","Mon Mar 30 00:30:58 UTC 2026","TestRegistration","test_registration","",""
"","2225","Check registration with correct email, username and password","tests.authentication","Mon Mar 30 00:30:59 UTC 2026","passed","Mon Mar 30 00:31:01 UTC 2026","TestRegistration","test_registration","",""
"","3534","Check login with correct email and password","tests.authentication","Mon Mar 30 00:30:29 UTC 2026","passed","Mon Mar 30 00:30:33 UTC 2026","TestAuthorization","test_authorization","",""
"","1561","Check navigation from login page to registration page ","tests.authentication","Mon Mar 30 00:30:54 UTC 2026","passed","Mon Mar 30 00:30:56 UTC 2026","TestAuthorization","test_authorization","",""
"","2727","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:51 UTC 2026","passed","Mon Mar 30 00:30:54 UTC 2026","TestAuthorization","test_authorization","",""
"","3321","Check login with correct email and password","tests.authentication","Mon Mar 30 00:30:45 UTC 2026","passed","Mon Mar 30 00:30:49 UTC 2026","TestAuthorization","test_authorization","",""
"","1868","Check displaying of empty courses list","tests.courses","Mon Mar 30 00:31:08 UTC 2026","passed","Mon Mar 30 00:31:10 UTC 2026","TestCourses","test_courses","",""
"","1474","Check navigation from login page to registration page ","tests.authentication","Mon Mar 30 00:30:57 UTC 2026","passed","Mon Mar 30 00:30:59 UTC 2026","TestAuthorization","test_authorization","",""
"","1964","Check login with wrong email or password","tests.authentication","Mon Mar 30 00:30:29 UTC 2026","passed","Mon Mar 30 00:30:31 UTC 2026","TestAuthorization","test_authorization","",""
"","2252","Check displaying of dashboard page","tests.dashboard","Mon Mar 30 00:31:20 UTC 2026","passed","Mon Mar 30 00:31:22 UTC 2026","TestDashboard","test_dashboard","",""
